ParkID,Park,Score,Facility Type,Facility Name,Address,State,Zipcode,Square Feet,Perimeter Length(ft),Acres,Longitude,Latitude
86,Carl Larsen Park,0.795,Basketball Court,Ocean View Basketball Courts,Capitol & Montana St,CA,94112,"5,572.02",311.98,0.13,-122.45670775,37.71633478
13,Junipero Serra Playground,0.9570000000000001,Ball Field,Glen ball fields,Diamond & Farnum Street,CA,94131,"124,520.49","1,891.68",2.86,-122.44059154,37.73600816
9,Rolph Nicol Playground,0.8640000000000001,Dog Play Area,Douglass dog play area,26th & Douglass Street,CA,94114,"70,655.34","1,153.02",1.62,-122.43889466,37.74674101
117,Alamo Square,0.857,Restroom,Gilman Bathrooms,Gilman Ave & Griffith,CA,94124,378.67,94.26,0.01,-122.38877192,37.71717866
60,Jose Coronado Playground,0.8590000000000001,Basketball Court,GGP1 Panhandle Basketball Courts,Stanyan & Great Hwy,CA,94117,"4,645.55",279.47,0.11,-122.44838047,37.77230438
42,Little Hollywood Park,0.846,Basketball Court,Chalmers: Basketball,670 Brunswick & Lowell Roemer,CA,94112,"8,546.61",381.78,0.20,-122.44714807,37.70979694
10,Lake Merced Park,0.73,Ball Field,Eureka Valley Ball Fields,100 Collingwood,CA,94114,"32,412.15",705.06,0.74,-122.4366393,37.7595074
94,Golden Gate Park,0.588,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,552.11,94.49,0.01,-122.40020504,37.73900113
104,Grattan Playground,0.873,Basketball Court,West Sunset Basketball Courts,3223 Ortega St & 39th Ave,CA,94116,"7,821.63",370.90,0.18,-122.49777649,37.75025416
153,Francisco Park,1.0,Clubhouse,Chalmers: Clubhouse,670 Brunswick & Lowell Roemer,CA,94112,"3,156.83",250.25,0.07,-122.4470315,37.70950787
80,Corona Heights,1.0,Basketball Court,Miraloma Basketball Courts,Omar & Sequoia Way,CA,94127,"6,480.24",333.89,0.15,-122.44913152,37.73905066
200,States Street Playground,0.961,Clubhouse,Parque Ninos Unidos Clubhouse,23rd & Treat St,CA,94110,"2,043.34",288.86,0.05,-122.41389356,37.75431392
33,Bernal Heights Recreation Center,0.9209999999999999,Ball Field,South Sunset Ball Fields,40th Ave & Vicente St,CA,94116,"97,238.46","1,772.81",2.23,-122.49845826,37.73710357
192,Turk-Hyde Mini Park,1.0,Activity Center,Lincoln Park Golf Course Clubhouse,34th Ave & Clement,CA,94121,"8,288.49",571.18,0.19,-122.49430875,37.78226619
22,Upper Noe Recreation Center,0.779,Ball Field,Laurel Ball Fields,Euclid & Collins Streets,CA,94118,"24,075.72",622.99,0.55,-122.45087374,37.78391437
32,Holly Park,0.932,Ball Field,Silver Terrace Ball Fields,Thornton & Bayshore,CA,94124,"144,641.95","2,286.76",3.32,-122.40329777,37.73298657
140,Betty Ann Ong Chinese Recreation Center,0.8540000000000001,Restroom,Lower Great Highway Taraval Restrooms,Great Hwy & Taraval,CA,94122,"5,215.72",489.54,0.12,-122.50704685,37.7413345
144,Washington-Hyde Mini Park,1.0,Restroom,Mountain Lake Restrooms,12th Ave & Lake St,CA,94118,907.68,158.00,0.02,-122.47175615,37.78697309
145,Ina Coolbrith Mini Park,0.826,Restroom,Noe Valley Courts Bathrooms,24th & Douglass St,CA,94114,391.33,98.01,0.01,-122.43921804,37.75148479
75,Eureka Valley Recreation Center,0.385,Basketball Court,Little Hollywood Basketball Courts,Lathrop & Tocoloma,CA,94134,"3,785.60",257.53,0.09,-122.39780481,37.71007449
73,Seward Mini Park,0.956,Basketball Court,Koshland Park Basketball Courts,Page & Buchanan,CA,94102,"1,589.22",151.94,0.04,-122.42699192,37.77327797
94,Golden Gate Park,0.8640000000000001,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,552.11,94.49,0.01,-122.40020504,37.73900113
30,Palega Recreation Center,0.7959999999999999,Ball Field,Potrero Hill ball fields,801 Arkansas Street,CA,94107,"140,706.05","1,431.24",3.23,-122.39699911,37.75553944
89,Golden Gate Heights Park,0.878,Basketball Court,Palega Basketball Courts,500 Felton,CA,94134,"7,360.71",362.13,0.17,-122.41004368,37.72889564
72,Noe Valley Courts,0.54,Basketball Court,Kelloch Velasco Basketball Courts,Kelloch & Velasco St,CA,94134,"8,317.78",532.85,0.19,-122.41281406,37.70844554
7,George Christopher Playground,0.5,Ball Field,Larsen Ball Fields,19th Avenue & Vicente,CA,94116,"20,560.18",567.36,0.47,-122.47602952,37.74084587
8,Douglass Playground,0.537,Ball Field,Crocker Amazon - ball fields,Moscow & Italy Streets,CA,94112,"515,443.48","5,506.27",11.83,-122.43050192,37.71451183
61,Mission Playground,0.5660000000000001,Basketball Court,Grattan Basketball Courts,1180 Stanyan St,CA,94117,"7,371.66",350.31,0.17,-122.45151797,37.76245816
105,Angelo J. Rossi Playground,0.8809999999999999,Basketball Court,YoungbloodColeman Basketball Courts,Mendell & Galvez,CA,94124,"10,461.24",450.06,0.24,-122.38380193,37.73816799
96,Fulton Playground,0.785,Basketball Court,Friend Basketball Courts,270 6th St,CA,94103,"6,206.84",325.53,0.14,-122.40664464,37.77871683
