,Unnamed: 0,id,name,rating,address,city,lat,long,zip code
0,0,99-tea-house-fremont-2,99% Tea House,4.5,3623 Thornton Ave,Fremont,37.56295,-122.01004,94536
1,1,one-tea-fremont-2,One Tea,4.5,46809 Warm Springs Blvd,Fremont,37.4890666928572,-121.929413750767,94539
2,2,royaltea-usa-fremont,Royaltea USA,4.0,38509 Fremont Blvd,Fremont,37.551315128803296,-121.993849799037,94536
3,3,teco-tea-and-coffee-bar-fremont,TECO Tea & Coffee Bar,4.5,39030 Paseo Padre Pkwy,Fremont,37.5536945,-121.981043,94538
4,4,t-lab-fremont-3,T-LAB,4.0,34133 Fremont Blvd,Fremont,37.576149,-122.0437049,94587
5,5,q-tea-monster-newark,Q-Tea Monster,4.0,39181 Cedar Blvd,Newark,37.5229604101756,-122.00578563248101,94560
6,6,gong-cha-fremont,Gong Cha,4.0,46827 Warm Springs Blvd,Fremont,37.4885682635695,-121.929191268869,94539
7,7,happy-lemon-fremont-2,Happy Lemon,4.5,46873 Warm Spring Blvd,Fremont,37.488442909347604,-121.930383669657,94539
8,8,factory-tea-bar-fremont-2,Factory Tea Bar,3.5,46461 Mission Blvd,Fremont,37.4922976027806,-121.92791871353998,94539
9,9,super-cue-cafe-fremont,Super Cue Cafe,3.5,43743 Boscell Rd,Fremont,37.500778287649204,-121.973167955875,94538
10,10,milk-and-honey-cafe-fremont,Milk and Honey Cafe,3.5,34265 Fremont Blvd,Fremont,37.575448103287,-122.042586920966,94587
11,11,tea-island-fremont-2,Tea Island,4.0,46196 Warm Springs Blvd,Fremont,37.493541436044296,-121.929889351584,94539
12,12,taro-taro-dessert-and-tea-house-fremont,Taro Taro Dessert & Tea House,3.5,6018 Stevenson Blvd,Fremont,37.5195973820395,-121.98949322884701,94538
13,13,i-tea-fremont-2,i-Tea,3.5,43421 Christy St,Fremont,37.504992442164,-121.971231736243,94538
14,14,i-tea-newark,i-Tea,4.0,34925 Newark Blvd,Newark,37.550693578716995,-122.051467484131,94555
15,15,sharetea-fremont-2,Sharetea,4.0,3948 Washington Blvd,Fremont,37.53195,-121.95789,94538
16,16,urbain-tea-fremont,uRbain tea,3.5,1590 Washington Blvd,Fremont,37.531231411929795,-121.937047836775,94537
17,17,mandro-teahouse-newark-3,MandRo Teahouse,4.0,34956 Newark Blvd,Newark,37.551504915123786,-122.050272187505,94555
18,18,gong-cha-newark,Gong Cha,4.0,39730 Cedar Blvd,Newark,37.5208,-121.996426,94538
19,19,tea-six-fremont-2,Tea Six,3.5,34460 Fremont Blvd,Fremont,37.57509,-122.0386,94587
20,20,tata-teahouse-fremont-2,Tata Teahouse,3.0,39230 Argonaut Way,Fremont,37.543782,-121.986825,94536
21,21,tea-station-newark,Tea Station,3.5,39115 Cedar Blvd,Newark,37.523356,-122.006645,94560
22,22,sno-crave-tea-house-fremont,Sno-Crave Tea House,3.0,43773 Boscell Rd,Fremont,37.500044,-121.973622,94538
23,23,boba-queen-fremont,Boba Queen,3.5,34420 Fremont Blvd,Fremont,37.5757,-122.03977,94587
24,24,t4-tea-fremont-2,T4 Tea,3.5,43430 Mission Blvd,Fremont,37.53181,-121.91944,94537
25,25,boba-fitt-drinks-union-city,Boba Fitt Drinks,3.5,31877 Alvarado Blvd,Union City,37.5897191178595,-122.07114841296699,94587
26,26,sweet-home-cafe-fremont-2,Sweet Home Cafe,3.5,6068 Stevenson Blvd,Fremont,37.51806664196421,-121.989524069478,94538
27,27,tea-era-mountain-view-2,Tea Era,4.0,271 Castro St,Mountain View,37.3929561,-122.0792811,94041
28,28,teaspoon-los-altos,Teaspoon,4.0,4546 El Camino Real,Los Altos,37.401254171244,-122.114469291963,94023
29,29,t4-fremont-8,T4,3.5,46132 Warm Springs Blvd,Fremont,37.4932967,-121.9312981,94539
30,30,my-delights-fremont,My Delights,4.0,43486 Ellsworth St,Fremont,37.53049850463871,-121.920637562871,94537
31,31,t4-fremont-3,T4,3.0,36400 Fremont Blvd,Fremont,37.5631118502019,-122.015291475919,94536
32,32,sno-crave-teahouse-union-city,Sno-Crave Teahouse,4.0,1788 Decoto Rd,Union City,37.58899870000001,-122.02086570000002,94587
33,33,sharetea-union-city-3,Sharetea,3.5,34391 Alvarado Niles Rd,Union City,37.587234,-122.022712,94587
34,34,tastea-san-jose-2,Tastea,4.0,1160 N Capitol Ave,San Jose,37.3878,-121.86019,93133
35,35,i-tea-castro-valley,i-Tea,4.0,20666 Redwood Rd,Castro Valley,37.695911,-122.072915,94546
36,36,caface-newark-2,CaFace,3.5,6180 Jarvis Ave,Newark,37.54872,-122.04928999999998,94555
37,37,tea-villa-milpitas,Tea Villa,4.0,1679 N Milpitas Blvd,Milpitas,37.4547351745994,-121.91157187616899,95035
38,38,mr-green-bubble-union-city,Mr Green Bubble,3.5,1644 Decoto Rd,Union City,37.5895754513833,-122.020674874683,94587
