,name,rating,address,city,lat,long,zip code,Number of Pikachu
0,99% Tea House,4.5,3623 Thornton Ave,Fremont,37.56295,-122.01003999999999,94536,61
1,Royaltea USA,4.0,38509 Fremont Blvd,Fremont,37.551315128803296,-121.993849799037,94536,61
2,Tata Teahouse,3.0,39230 Argonaut Way,Fremont,37.543782,-121.986825,94536,61
3,T4,3.0,36400 Fremont Blvd,Fremont,37.5631118502019,-122.015291475919,94536,61
4,Q Cup,3.0,39129 Fremont Blvd,Fremont,37.5461699480404,-121.987401525697,94536,61
5,One Tea,4.5,46809 Warm Springs Blvd,Fremont,37.4890666928572,-121.929413750767,94539,14
6,Gong Cha,4.0,46827 Warm Springs Blvd,Fremont,37.4885682635695,-121.929191268869,94539,14
7,Happy Lemon,4.5,46873 Warm Spring Blvd,Fremont,37.488442909347604,-121.930383669657,94539,14
8,Factory Tea Bar,3.5,46461 Mission Blvd,Fremont,37.4922976027806,-121.92791871353998,94539,14
9,Tea Island,4.0,46196 Warm Springs Blvd,Fremont,37.493541436044296,-121.929889351584,94539,14
10,T4,3.5,46132 Warm Springs Blvd,Fremont,37.4932967,-121.93129809999999,94539,14
11,Sweet CoCo,4.0,46164 Warm Springs Blvd,Fremont,37.49369,-121.93053,94539,14
12,TECO Tea & Coffee Bar,4.5,39030 Paseo Padre Pkwy,Fremont,37.5536945,-121.981043,94538,46
13,Super Cue Cafe,3.5,43743 Boscell Rd,Fremont,37.500778287649204,-121.973167955875,94538,46
14,Taro Taro Dessert & Tea House,3.5,6018 Stevenson Blvd,Fremont,37.5195973820395,-121.98949322884701,94538,46
15,i-Tea,3.5,43421 Christy St,Fremont,37.504992442164,-121.971231736243,94538,46
16,Sharetea,4.0,3948 Washington Blvd,Fremont,37.53195,-121.95788999999999,94538,46
17,Gong Cha,4.0,39730 Cedar Blvd,Newark,37.5208,-121.996426,94538,46
18,Sno-Crave Tea House,3.0,43773 Boscell Rd,Fremont,37.500044,-121.97362199999999,94538,46
19,Sweet Home Cafe,3.5,6068 Stevenson Blvd,Fremont,37.51806664196421,-121.989524069478,94538,46
20,Fusion Mix Frozen Yogurt,4.5,4144 Walnut Ave,Fremont,37.5436017856673,-121.984061099299,94538,46
21,Storm Crepes,4.5,39658 Cedar Blvd,Newark,37.5218169879729,-121.997366492815,94538,46
22,Milkcow,3.5,5657 Auto Mall Pkwy,Fremont,37.50466,-121.97634,94538,46
23,Bean Scene Cafe,4.0,4000 Bay St,Fremont,37.532728999999996,-121.95934,94538,46
24,T-LAB,4.0,34133 Fremont Blvd,Fremont,37.576149,-122.04370490000001,94587,35
25,Milk and Honey Cafe,3.5,34265 Fremont Blvd,Fremont,37.575448103287,-122.042586920966,94587,35
26,Tea Six,3.5,34460 Fremont Blvd,Fremont,37.57509,-122.0386,94587,35
27,Boba Queen,3.5,34420 Fremont Blvd,Fremont,37.5757,-122.03976999999999,94587,35
28,Boba Fitt Drinks,3.5,31877 Alvarado Blvd,Union City,37.5897191178595,-122.07114841296699,94587,35
29,Sno-Crave Teahouse,4.0,1788 Decoto Rd,Union City,37.58899870000001,-122.02086570000002,94587,35
30,Sharetea,3.5,34391 Alvarado Niles Rd,Union City,37.587234,-122.02271200000001,94587,35
31,Mr Green Bubble,3.5,1644 Decoto Rd,Union City,37.5895754513833,-122.020674874683,94587,35
32,Joy 4 Tea,3.5,32148 Alvarado Blvd,Union City,37.589416387910795,-122.06768341249901,94587,35
33,Tapioca Express,3.5,1707 Decoto Rd,Union City,37.589445484175,-122.02183395763001,94587,35
34,BlackBall Desserts-Union City,3.5,34563 Alvarado Niles Rd,Union City,37.586644799999995,-122.0201868,94587,35
35,Che-Lo,4.5,1767 Decoto Blvd,Union City,37.5895628278523,-122.022492714298,94587,35
36,BAMBU,3.5,31812-31822 Alvarado Blvd,Union City,37.59146031309321,-122.07111143456899,94587,35
37,Sweet Orchid,4.5,34460 Fremont Blvd,Fremont,37.5751187606321,-122.038859706704,94587,35
38,Jenjon's Cafe,4.0,1704 Decoto Rd,Union City,37.589058513675,-122.01876368886002,94587,35
39,Q-Tea Monster,4.0,39181 Cedar Blvd,Newark,37.5229604101756,-122.00578563248101,94560,24
40,Tea Station,3.5,39115 Cedar Blvd,Newark,37.523356,-122.00664499999999,94560,24
41,85°C Bakery Cafe,3.5,35201 Newark Blvd,Newark,37.54772,-122.0466,94560,24
42,ICICLES,4.0,39055 Cedar Blvd,Newark,37.52314000000001,-122.00792,94560,24
43,Crepe Bar,4.0,2078 Newpark Mall,Newark,37.528230799999996,-122.00024579999999,94560,24
44,BAMBU,3.5,6058 Mowry Ave,Newark,37.5236587144356,-122.007144735602,94560,24
45,i-Tea,4.0,34925 Newark Blvd,Newark,37.550693578716995,-122.051467484131,94555,25
