restaurant,address,city,state,country,latitude,longitude,tel,website,price,rating
 Chipotle Mexican Grill,126 New,San Francisco, 'region': 'CA',US, 'latitude': 37.787086, 'longitude': -122.400212, 'tel': '(415) 512-8113',website':, 'price': '1', 'rating': 3.0
 In-N-Out Burger,333 Jefferson St,San Francisco, 'region': 'CA',US, 'latitude': 37.8078, 'longitude': -122.418383, 'tel': '(800) 786-1000',website', 'price': '3', 'rating': 4.0
 Pearls Deluxe Burgers,708 Post St,San Francisco, 'region': 'CA',US, 'latitude': 37.787739, 'longitude': -122.413641, 'tel': '(415) 409-6120', 'email':, 'price': '3', 'rating': 4.0
 Cafe Du Soleil,200 Fillmore St,San Francisco, 'region': 'CA',US, 'latitude': 37.771303, 'longitude': -122.430158, 'tel': '(415) 934-8637', 'email':, 'price': '3', 'rating': 4.5
 Cafe Zazo,64 14th St,San Francisco, 'region': 'CA',US, 'latitude': 37.768642, 'longitude': -122.414821, 'tel': '(415) 626-5555', 'email':, 'price': '1', 'rating': 4.0
 Cove Cafe,434 Castro St,San Francisco, 'region': 'CA',US, 'latitude': 37.761957, 'longitude': -122.435213, 'tel': '(415) 626-0462', 'email':, 'price': '3', 'rating': 4.0
 Howards,1309 9th Ave,San Francisco, 'region': 'CA',US, 'latitude': 37.76377, 'longitude': -122.466425, 'tel': '(415) 564-4723', 'email':, 'price': '2', 'rating': 4.0
 Rain Tree Cafe,654 Irving St,San Francisco, 'region': 'CA',US, 'latitude': 37.764202, 'longitude': -122.464998, 'tel': '(415) 665-3633', 'email':, 'price': '3', 'rating': 4.5
 Revolution Cafe,3248 22nd St,San Francisco, 'region': 'CA',US, 'latitude': 37.755442, 'longitude': -122.419788, 'tel': '(415) 642-0474', 'email':, 'price': '2', 'rating': 3.5
 Hons Wun Tun House,648 Kearny St,San Francisco, 'region': 'CA',US, 'latitude': 37.794169, 'longitude': -122.404691, 'tel': '(415) 433-3966', 'email':, 'price': '3', 'rating': 4.0
 Punjab Restaurant,2838 24th St,San Francisco, 'region': 'CA',US, 'latitude': 37.752896, 'longitude': -122.408943, 'tel': '(415) 282-4011', 'email':, 'price': '3', 'rating': 4.0
 La Torta Gorda,2833 24th St,San Francisco, 'region': 'CA',US, 'latitude': 37.752774, 'longitude': -122.40867, 'tel': '(415) 642-9600', 'email':, 'price': '3', 'rating': 3.0
 Pho 2000,637 Larkin St,San Francisco, 'region': 'CA',US, 'latitude': 37.783914, 'longitude': -122.417772, 'tel': '(415) 474-1188', 'email':, 'price': '3', 'rating': 3.0
 Little Star Pizza,846 Divisadero St,San Francisco, 'region': 'CA',US, 'latitude': 37.777492, 'longitude': -122.438182, 'tel': '(415) 441-1118', 'email':, 'price': '1', 'rating': 3.0
 Burgermeister,86 Carl St,San Francisco, 'region': 'CA',US, 'latitude': 37.765881, 'longitude': -122.449727, 'tel': '(415) 566-1274', 'email': 'catering@burgermeistersf.com', 'price': '3', 'rating': 3.0
 Chez Maman,1453 18th St,San Francisco, 'region': 'CA',US, 'latitude': 37.762492, 'longitude': -122.397051, 'tel': '(415) 824-7166', 'email': 'chezmamansf@yahoo.com', 'price': '3', 'rating': 3.0
 Le Zinc,4063 24th St,San Francisco, 'region': 'CA',US, 'latitude': 37.751221, 'longitude': -122.433213, 'tel': '(415) 647-9400', 'email': 'contactus@lezinc.com', 'price': '3', 'rating': 3.0
 Taqueria San Francisco,2794 24th St,San Francisco, 'region': 'CA',US, 'latitude': 37.752958, 'longitude': -122.408085, 'tel': '(415) 641-1770', 'email': 'contactus@taqueriazorro.com', 'price': '3', 'rating': 3.0
 Pizzeria Delfina,2406 California St,San Francisco, 'region': 'CA',US, 'latitude': 37.788925, 'longitude': -122.434241, 'tel': '(415) 440-1189', 'email': 'delfina@delfinasf.com', 'price': '1', 'rating': 3.0
 Panini,1457 Haight St,San Francisco, 'region': 'CA',US, 'latitude': 37.770036, 'longitude': -122.44629, 'tel': '(415) 552-8057', 'email': 'enews@cafe-panini.net', 'price': '3', 'rating': 3.0
