,restaurant,address,city,state,zipcode,latitude,longitude,tel,price,rating
0, Chipotle Mexican Grill,126 New,San Francisco,CA,94105,37.787086,-122.400212,(415) 512-8113,1,3.0
1, In-N-Out Burger,333 Jefferson St,San Francisco,CA,94133,37.8078,-122.418383,(800) 786-1000,3,4.0
2, Pearls Deluxe Burgers,708 Post St,San Francisco,CA,94109,37.787739,-122.413641,(415) 409-6120,3,4.0
3, Cafe Du Soleil,200 Fillmore St,San Francisco,CA,94117,37.771303,-122.430158,(415) 934-8637,3,4.5
4, Cafe Zazo,64 14th St,San Francisco,CA,94103,37.768642,-122.414821,(415) 626-5555,1,4.0
5, Cove Cafe,434 Castro St,San Francisco,CA,94114,37.761957,-122.435213,(415) 626-0462,3,4.0
6, Howards,1309 9th Ave,San Francisco,CA,94122,37.76377,-122.466425,(415) 564-4723,2,4.0
7, Rain Tree Cafe,654 Irving St,San Francisco,CA,94122,37.764202,-122.464998,(415) 665-3633,3,4.5
8, Revolution Cafe,3248 22nd St,San Francisco,CA,94110,37.755442,-122.419788,(415) 642-0474,2,3.5
9, Hons Wun Tun House,648 Kearny St,San Francisco,CA,94108,37.794169,-122.404691,(415) 433-3966,3,4.0
10, Punjab Restaurant,2838 24th St,San Francisco,CA,94110,37.752896,-122.408943,(415) 282-4011,3,4.0
11, La Torta Gorda,2833 24th St,San Francisco,CA,94110,37.752774,-122.40867,(415) 642-9600,3,3.0
12, Pho 2000,637 Larkin St,San Francisco,CA,94109,37.783914,-122.417772,(415) 474-1188,3,3.0
13, Little Star Pizza,846 Divisadero St,San Francisco,CA,94117,37.777492,-122.438182,(415) 441-1118,1,3.0
14, Burgermeister,86 Carl St,San Francisco,CA,94117,37.765881,-122.449727,(415) 566-1274,3,3.0
15, Chez Maman,1453 18th St,San Francisco,CA,94107,37.762492,-122.397051,(415) 824-7166,3,3.0
16, Le Zinc,4063 24th St,San Francisco,CA,94114,37.751221,-122.433213,(415) 647-9400,3,3.0
17, Taqueria San Francisco,2794 24th St,San Francisco,CA,94110,37.752958,-122.408085,(415) 641-1770,3,3.0
18, Pizzeria Delfina,2406 California St,San Francisco,CA,94115,37.788925,-122.434241,(415) 440-1189,1,3.0
19, Panini,1457 Haight St,San Francisco,CA,94117,37.770036,-122.44629,(415) 552-8057,3,3.0
20, Burgermeister,138 Church St,San Francisco,CA,94114,37.768755,-122.42914,(415) 437-2874,2,3.0
21, B Star Cafe,127 Clement St,San Francisco,CA,94118,37.783008,-122.460684,(415) 933-9900,3,3.0
22, Don Pistos,510 Union St,San Francisco,CA,94133,37.800682,-122.407872,(415) 395-0939,3,3.0
23, Cotogna,490 Pacific Ave,San Francisco,CA,94133,37.797325,-122.403621,(415) 775-8508,1,3.0
24, Ironside,680 2nd St,San Francisco,CA,94107,37.780838,-122.391103,(415) 896-1127,3,3.0
25, Lime Tree,450 Irving St,San Francisco,CA,94122,37.764313,-122.46274,(415) 665-1415,2,3.0
26, Spruce,3640 Sacramento St,San Francisco,CA,94118,37.787631,-122.452743,(415) 931-5100,3,4.5
27, Stable Cafe,2128 Folsom St,San Francisco,CA,94110,37.763202,-122.415206,(415) 552-1199,3,4.0
28, Mels Drive In,801 Mission St,San Francisco,CA,94103,37.784272,-122.404356,(415) 227-4477,3,4.0
29, Leopolds,2400 Polk St,San Francisco,CA,94109,37.798866,-122.422185,(415) 474-2000,1,4.0
30, Gracias Madre,2211 Mission St,San Francisco,CA,94110,37.761547,-122.419204,(415) 683-1346,3,4.5
31, Bazaar Cafe,5927 California St,San Francisco,CA,94121,37.783954,-122.481177,(415) 831-5620,2,3.5
32, Busters,366 Columbus Ave,San Francisco,CA,94133,37.798548,-122.407559,(415) 392-2800,3,4.0
33, Melt,700 Columbus Ave,San Francisco,CA,94133,37.801255,-122.411441,(415) 392-9290,3,4.0
34, Pizza Joint,2414 San Bruno Ave,San Francisco,CA,94134,37.732046,-122.405565,(415) 467-4100,1,4.0
35, Spqr,1911 Fillmore St,San Francisco,CA,94115,37.787369,-122.433663,(415) 771-7779,3,4.5
36, Pats Cafe,2330 Taylor St,San Francisco,CA,94133,37.803985,-122.414841,(415) 776-8735,2,4.0
37, Il Fornaio,1265 Battery St,San Francisco,CA,94111,37.802838,-122.402063,(415) 986-0100,3,4.0
38, Chutney Restaurant,511 Jones St,San Francisco,CA,94102,37.786022,-122.41311,(415) 931-5541,2,4.0
